"","RespondentID","Have you seen any of the 6 films in the Star Wars franchise?","Do you consider yourself to be a fan of the Star Wars film franchise?","Which of the following Star Wars films have you seen? Please select all that apply.","X5","X6","X7","X8","X9","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","Han Solo","Luke Skywalker","Princess Leia Organa","Anakin Skywalker","Obi Wan Kenobi","Emperor Palpatine","Darth Vader","Lando Calrissian","Boba Fett","C-3P0","R2 D2","Jar Jar Binks","Padme Amidala","Yoda","Which character shot first?","Are you familiar with the Expanded Universe?","Do you consider yourself to be a fan of the Expanded Universe?ξ","Do you consider yourself to be a fan of the Star Trek franchise?","Gender","Age","Household Income","Education","Location (Census Region)","seen_films"
"11",3292583038,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","4","6","5","3","1","2","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Very unfavorably","Very unfavorably","Somewhat favorably","Han","Yes","Yes","Yes","Male","18-29","$0 - $24,999","Some college or Associate degree","West South Central",6
"12",3292565282,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","5","2","3","1","4","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Somewhat unfavorably","Very favorably","Han","No",NA,"No","Male","18-29",NA,"High school degree","South Atlantic",6
"13",3292562297,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","5","1","4","3","2","Very favorably","Somewhat favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very unfavorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Very favorably","Very favorably","Greedo","No",NA,"Yes","Male","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central",6
"14",3292522349,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","5","4","1","2","3","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Han","No",NA,"No","Male","18-29",NA,"Some college or Associate degree","Pacific",6
"15",3292511801,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","5","4","3","1","2","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very unfavorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Greedo","Yes","Yes","Yes","Male","18-29","$50,000 - $99,999","Bachelor degree","South Atlantic",6
"16",3292483200,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","1","4","2","3","5","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Somewhat favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Han","No",NA,"No","Male","18-29","$0 - $24,999","Bachelor degree","Pacific",6
"17",3292465491,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","1","2","6","3","4","5","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Han","No",NA,"No","Male","18-29",NA,NA,"East North Central",6
"18",3292420123,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","4","6","5","2","3","1","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Somewhat favorably","Very favorably","Greedo","Yes","No","No","Male","18-29","$100,000 - $149,999","Some college or Associate degree","South Atlantic",6
"19",3292384040,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","5","4","2","3","1","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Very unfavorably","Very unfavorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Greedo","No",NA,"No","Male","18-29",NA,"Some college or Associate degree","Middle Atlantic",6
"20",3292380493,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","5","4","2","1","3","Very favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very unfavorably","Very unfavorably","Very unfavorably","Very favorably","Very favorably","Somewhat favorably","Very unfavorably","Somewhat unfavorably","Very unfavorably","Very unfavorably","Very favorably","Han","Yes","No","No","Male","18-29",NA,"Some college or Associate degree","Middle Atlantic",6
